settlement_id,ever_lit,ntl_max,ntl_2025,ntl_slope,ntl_p,light_trend
S0355,True,0.699,0.0,0.0,0.0979,flat
S0356,False,0.0,,,,dark
S0357,False,0.0,,,,dark
S0358,True,1.234,1.234,0.0,0.0105,flat
S0359,True,0.901,0.901,0.0,0.8804,flat
S0360,True,1.531,1.531,0.0418,0.015,brightening
S0361,True,2.155,2.155,0.037,0.0573,flat
S0362,True,4.852,3.502,-0.1008,0.1,flat
S0363,True,0.601,0.601,0.0,0.0239,flat
S0364,True,2.039,2.039,0.0666,0.0009,brightening
S0365,True,0.843,0.788,0.0579,0.0528,flat
S0366,True,1.523,1.003,-0.0091,0.5098,flat
S0367,True,0.614,0.0,0.0,0.593,flat
S0368,True,0.614,0.0,0.0,0.593,flat
S0369,True,0.614,0.0,0.0,0.593,flat
S0370,True,0.978,0.964,0.0,0.6516,flat
S0371,True,2.567,2.485,0.0974,0.0573,flat
S0372,True,1.523,1.469,0.0499,0.0422,brightening
S0373,True,2.567,2.485,0.0974,0.0573,flat
S0374,True,1.07,0.926,0.1058,0.0013,brightening
S0375,False,0.0,,,,dark
S0376,False,0.0,,,,dark
S0377,False,0.0,,,,dark
S0378,False,0.0,,,,dark
S0379,False,0.0,,,,dark
S0380,False,0.0,,,,dark
S0381,False,0.0,,,,dark
S0382,False,0.0,,,,dark
S0383,False,0.0,,,,dark
S0384,True,1.478,1.478,0.1103,0.0001,brightening
S0385,False,0.0,,,,dark
S0386,False,0.0,,,,dark
S0387,False,0.0,,,,dark
S0388,True,0.573,0.0,0.0203,0.3062,flat
S0389,True,2.721,2.05,0.2296,0.0004,brightening
S0390,True,1.759,1.67,0.1801,0.0003,brightening
S0391,False,0.0,,,,dark
S0392,True,0.572,0.0,0.0,0.3666,flat
S0393,True,3.366,1.672,-0.138,0.0216,dimming
S0394,True,0.779,0.67,0.0,0.0505,flat
S0395,False,0.0,,,,dark
S0396,False,0.0,,,,dark
S0397,True,1.865,0.598,0.0014,0.9524,flat
S0398,False,0.0,,,,dark
S0399,False,0.0,,,,dark
S0400,False,0.0,,,,dark
S0401,False,0.0,,,,dark
S0402,True,1.234,0.406,0.0,0.4017,flat
S0403,True,1.429,1.323,0.1325,0.0,brightening
S0404,True,0.518,0.0,0.0,0.593,flat
S0405,False,0.311,,,,dark
S0406,False,0.0,,,,dark
S0407,True,0.937,0.432,0.0,0.3262,flat
S0408,True,0.649,0.614,0.0199,0.1015,flat
S0409,True,0.971,0.918,0.0566,0.0171,brightening
S0410,True,0.937,0.432,0.0,0.3666,flat
S0411,True,2.356,1.863,0.1208,0.0437,brightening
S0412,True,2.356,1.863,0.1208,0.0437,brightening
S0413,True,0.736,0.0,0.0,0.2781,flat
S0414,True,2.322,2.162,-0.0066,0.765,flat
S0415,False,0.0,,,,dark
S0416,False,0.25,,,,dark
S0417,True,0.587,0.0,0.0,0.2068,flat
S0418,True,0.633,0.0,0.0,0.6739,flat
S0419,True,0.973,0.774,0.0413,0.0778,flat
S0420,True,0.513,0.0,0.0,0.7683,flat
S0421,True,0.695,0.0,0.0,0.2781,flat
S0422,False,0.42,,,,dark
S0423,False,0.297,,,,dark
S0424,False,0.322,,,,dark
S0425,False,0.374,,,,dark
S0426,False,0.0,,,,dark
S0427,False,0.0,,,,dark
S0428,False,0.0,,,,dark
S0429,True,9.932,7.916,-0.2086,0.0305,dimming
S0430,False,0.0,,,,dark
S0431,False,0.0,,,,dark
S0432,True,1.63,0.0,0.0,0.1561,flat
S0433,True,1.189,0.0,0.0,0.2108,flat
S0434,False,0.0,,,,dark
S0435,False,0.0,,,,dark
S0436,False,0.0,,,,dark
S0437,False,0.0,,,,dark
S0438,False,0.0,,,,dark
S0439,False,0.0,,,,dark
S0440,False,0.0,,,,dark
S0441,False,0.0,,,,dark
