settlement_id,ever_lit,ntl_max,ntl_2025,ntl_slope,ntl_p,light_trend
S1437,True,3.0,2.617,0.1489,0.0,brightening
S1438,True,1.135,0.52,0.0699,0.0064,brightening
S1439,True,1.394,1.394,0.1017,0.0027,brightening
S1440,False,0.0,,,,dark
S1441,True,4.751,3.776,0.25,0.015,brightening
S1442,True,2.014,1.291,0.0731,0.0101,brightening
S1443,True,3.197,2.977,0.0929,0.0027,brightening
S1444,True,2.813,2.813,0.0539,0.0422,brightening
S1445,True,1.844,1.455,-0.0064,0.3674,flat
S1446,True,5.083,4.393,0.1387,0.0305,brightening
S1447,True,4.413,4.114,0.2115,0.0001,brightening
