settlement_id,year,max_1km,mean_1km
S0134,2013,1.6180543899536133,0.3382192338014038
S0135,2013,0.0,0.0
S0137,2013,0.45527052879333496,0.03126069604138639
S0138,2013,2.30245304107666,1.0119356223579044
S0139,2013,4.572890758514404,0.6696912468865424
S0140,2013,19.63777732849121,8.059406425801559
S0141,2013,7.696387767791748,3.59465425922757
S0145,2013,0.0,0.0
S0149,2013,0.0,0.0
S0150,2013,0.0,0.0
S0151,2013,0.0,0.0
S0152,2013,16.45892906188965,7.833085003756608
S0153,2013,17.85883331298828,8.659380249280034
S0154,2013,29.69974136352539,11.751995393079731
S0155,2013,9.497159004211426,4.293113130658537
S0156,2013,18.7508544921875,8.280451048799875
S0157,2013,0.0,0.0
S0158,2013,6.713931083679199,3.5112281896610567
S0159,2013,5.500670909881592,1.269059577600144
S0160,2013,17.51791000366211,4.568976518382522
S0162,2013,0.0,0.0
S0164,2013,0.0,0.0
S0165,2013,20.11038589477539,11.602790541988929
S0166,2013,1.1157151460647583,0.05901546315823635
S0168,2013,15.296394348144531,6.660072198229016
S0169,2013,17.358797073364258,9.643272063696944
S0170,2013,25.182483673095703,7.99859845261196
S0171,2013,3.5982677936553955,1.5168246365019926
S0172,2013,0.0,0.0
S0173,2013,19.753936767578125,4.9670781987361945
S0174,2013,90.30662536621094,34.80997454386261
S0175,2013,17.036376953125,9.70920381230071
S0176,2013,20.652559280395508,11.657983731844416
S0177,2013,42.30748748779297,17.609714806716344
S0178,2013,0.0,0.0
S0179,2013,0.0,0.0
S0180,2013,0.0,0.0
S0181,2013,0.0,0.0
S0182,2013,0.44080430269241333,0.16400983625814936
S0183,2013,1.6363904476165771,0.499668605299857
S0184,2013,4.99276876449585,2.237681012355422
S0185,2013,0.0,0.0
S0186,2013,1.1563605070114136,0.4747940891992368
S0187,2013,1.1563605070114136,0.29613524847682904
S0188,2013,1.9639933109283447,0.13801581990377815
S0189,2013,0.9017303586006165,0.08506130924372975
S0190,2013,0.0,0.0
S0191,2013,0.8321837782859802,0.07112609246992069
S0192,2013,0.0,0.0
S0193,2013,6.508213043212891,2.96830871728342
S0194,2013,7.816954135894775,3.2591153920481077
S0195,2013,1.6777509450912476,0.6808136400003829
S0196,2013,1.915270209312439,0.27247069748982156
S0197,2013,4.2108612060546875,1.7561801369842758
S0198,2013,19.55078125,8.313888199158388
S0199,2013,5.871744632720947,2.899914130236328
S0200,2013,6.5487141609191895,3.344396697171091
S0201,2013,0.0,0.0
