settlement_id,name,district,lat,lon,pop_2km,backhaul_km,elev_drop_m,only_self_3km,only_self_5km,only_self_10km,ever_lit
S1151,Kampung Kipaku,Tambunan,5.7396865,116.4067157,2175,9.1,104.0,1,1,1,True
S1186,Kampung Minawo Ulu,Keningau,5.3178138,116.1933541,1253,4.8,56.0,1,1,0,True
S1190,Salimandut,KotaMarudu,6.4860679,116.8662016,1744,5.37,8.0,0,0,0,True
S1213,Singgah Mata,Pitas,6.6776111,117.0855448,1142,6.8,1.0,0,0,0,True
S1214,Rinasuk Bai,Pitas,6.6688346,117.0750177,899,7.21,15.0,1,1,1,True
S1238,Kibulu,Pitas,6.6726134,117.0904352,899,7.55,2.0,0,0,0,True
S1257,Marais,Tenom,4.8602808,115.8774283,1350,7.44,-9.0,0,0,0,True
S1262,Belumbong,Tenom,4.9498512,115.9165432,1360,4.02,-33.0,0,0,0,False
S1264,Maanas,Tenom,4.8380444,115.8888462,1085,9.01,-3.0,0,0,0,True
S1265,Katambalang,Tenom,4.8489683,115.8820235,1575,8.22,-11.0,0,0,0,True
S1266,Abul,Tenom,4.9000969,115.8990228,758,2.58,14.0,1,1,1,False
S1267,Maugus,Tenom,4.9567649,115.9287947,1244,4.94,-39.0,0,0,0,True
S1268,Batu-Batu,Tenom,5.0300298,115.9677481,720,4.79,26.0,1,1,1,True
S1270,Bangkulin,Tenom,4.8751133,115.9010094,1026,4.68,15.0,0,0,0,False
S1273,Mamaitom,Tenom,4.8816281,115.9076972,872,3.74,46.0,0,0,0,False
S1274,Namatutan,Tenom,4.8905928,115.9099937,1187,2.72,80.0,1,0,0,False
S1275,Kauran,Tenom,4.9389728,115.9278051,506,3.02,-35.0,0,0,0,False
S1278,Nanturaan,Tenom,4.781721,115.8686313,652,15.66,243.0,1,1,1,False
S1282,Masanoi Ulu,Tenom,4.9714154,115.8933589,517,6.97,35.0,1,1,1,False
S1286,Sumandalom,Tenom,5.01491,115.9389239,1944,7.29,1.0,0,0,0,False
S1287,Kalibatang Lama,Tenom,4.8626957,115.8968561,710,6.13,-16.0,0,0,0,False
S1288,Mailo Malalaat,Tenom,4.9828339,115.8918758,566,8.21,67.0,0,0,0,True
S1289,Kungkular,Tenom,4.7973202,115.8746945,1323,13.8,216.0,1,1,1,False
S1290,Kuala Tomani Scheme,Tenom,4.8455687,115.8824868,1514,8.53,33.0,0,0,0,True
S1292,Sugiang Lama,Tenom,4.931657,115.9209908,2679,2.02,-35.0,0,0,0,True
S1293,Kuala Tolokoson,Tenom,4.8786559,115.9234644,711,3.95,-4.0,1,1,1,True
S1294,Enubah,Tenom,5.009984,115.9218609,2706,8.77,8.0,0,0,0,True
S1295,Sibulu,Tenom,4.8950427,115.9239912,2476,2.18,-21.0,1,1,1,True
S1296,Pemaluyan,Tenom,4.9424497,115.9189645,909,3.2,-39.0,0,0,0,False
S1297,Kaparungan,Tenom,4.8680918,115.8841145,698,6.3,14.0,0,0,0,True
S1299,Belumbong Baru,Tenom,4.9725045,115.9099196,822,6.6,-18.0,0,0,0,True
S1300,Baru Jumpa,Tenom,4.9350834,115.8993904,1259,3.14,29.0,1,1,1,False
S1307,Mailo,Tenom,4.9820097,115.8942416,639,8.03,38.0,0,0,0,True
S1308,Angalor,Tenom,4.9617425,115.9377015,598,5.77,-24.0,0,0,0,True
S1309,Batu,Tenom,4.9686314,115.9343143,762,6.37,-33.0,0,0,0,True
S1310,Lalandang,Tenom,5.0057309,115.9360104,2158,8.35,2.0,0,0,0,True
S1312,Mile 14,Tenom,4.955506,115.9182353,1209,4.65,-40.0,0,0,0,False
S1313,Sindungon Panjang,Tenom,5.0073294,115.9475247,1411,7.7,38.0,0,0,0,False
S1315,Blok 5,Tenom,5.122124,116.0012316,672,6.5,68.0,1,1,1,False
S1316,Ingatan Baru,Tenom,5.0042828,115.929199,2902,8.85,4.0,0,0,0,True
S1318,Makakumpai,Tenom,5.117836,115.966963,2196,2.82,1.0,1,1,1,True
S1321,Bandar Embara Budi,LahadDatu,5.1656349,119.1443099,1895,0.0,,1,1,1,True
S1323,Bandar Gemala Pura,Kinabatangan,5.2775082,119.214677,2074,0.0,,1,0,0,True
S1324,Hamparan Badai,Kinabatangan,5.3663703,119.2047753,1646,9.94,19.0,1,1,1,True
S1326,Felda Gugusan Umas,Tawau,4.4777903,117.6581544,12538,19.87,21.0,1,1,1,True
S1333,Kampung Telaga Tujuh,Kunak,4.6544051,118.2607451,916,3.59,9.0,1,1,1,True
